index,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
5166,324,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,111,0,0,0,42,69,0,0,0,0,0,0,0,1.444570985,103.8178474,NIL,324 SEMBAWANG CLOSE SINGAPORE 750324,750324,3,SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
5167,324,SUMANG WALK,1,2018,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413172309,103.8984192,PUNGGOL BAYVIEW,324 SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 820324,820324,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
5168,324,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0,1.352388342,103.9594434,NIL,324 TAMPINES STREET 32 SINGAPORE 520324,520324,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
5169,324,TAH CHING RD,11,1995,Y,Y,N,N,N,N,JW,80,0,0,0,50,30,0,0,0,0,0,0,0,1.336379591,103.7234448,HDB PUBLIC SHELTERS,324 TAH CHING ROAD HDB PUBLIC SHELTERS SINGAPORE 610324,610324,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
5170,324,UBI AVE 1,12,1984,Y,N,N,N,N,N,GL,114,0,0,0,114,0,0,0,0,0,0,0,0,1.328294349,103.9042044,KAMPUNG UBI ESTATE,324 UBI AVENUE 1 KAMPUNG UBI ESTATE SINGAPORE 400324,400324,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
5171,324,WOODLANDS ST 32,4,1985,Y,N,N,N,N,N,WL,16,0,0,0,16,0,0,0,0,0,0,0,0,1.431238489,103.7797125,NIL,324 WOODLANDS STREET 32 SINGAPORE 730324,730324,5,WOODGROVE,WDSZ05,WOODLANDS,WD,NORTH REGION,NR
5172,324,YISHUN CTRL,11,1987,Y,N,N,N,N,N,YS,60,0,0,0,0,0,60,0,0,0,0,0,0,1.428661503,103.8419995,YISHUN RIVERGREEN,324 YISHUN CENTRAL YISHUN RIVERGREEN SINGAPORE 760324,760324,3,YISHUN EAST,YSSZ03,YISHUN,YS,NORTH REGION,NR
5173,324A,SENGKANG EAST WAY,15,2000,Y,N,N,N,N,N,SK,88,0,0,0,88,0,0,0,0,0,0,0,0,1.393466601,103.8920569,ANCHORVALE GROVE,324A SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 541324,541324,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5174,324B,SENGKANG EAST WAY,15,2000,Y,N,N,N,N,N,SK,86,0,0,0,28,58,0,0,0,0,0,0,0,1.392501205,103.8923333,ANCHORVALE GROVE,324B SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 542324,542324,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5175,324C,SENGKANG EAST WAY,15,2000,Y,N,N,N,N,N,SK,84,0,0,0,0,0,84,0,0,0,0,0,0,1.392544087,103.8917765,ANCHORVALE GROVE,324C SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 543324,543324,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
